benchmark,metric,primary,secondary,n,model,judge_model,protocol,source,sha256,score_source,score_sha256
DiscoveryBench,HMS / consistency-HMS,28.698944012751546,34.5566845985256,239,openai/gpt-4o-mini,openai/gpt-4o,official real/test evaluator,lmw/universal_discovery_real/aaai27_language_growth_protocol_v1_fixed_l0_test239/summary.json,0e53dbed11ec8d1a33b2542e7c102409f7143b36d76ea2c266142a8f2c4f4bea,lmw/universal_discovery_real/aaai27_language_growth_protocol_v1_fixed_l0_test239/summary.json,0e53dbed11ec8d1a33b2542e7c102409f7143b36d76ea2c266142a8f2c4f4bea
NewtonBench,SA-all / SA-answered,49.382716049382715,66.66666666666667,324,openai/gpt-4o-mini,gpt41,complete frozen-kernel full grid; promotion gates disabled,lmw/nb_activeprobe/aaai27_newton_full324_no_promotion_gates_20260717/summary.json,01180484d02da55d3abfeba32b2175f95757d66f1bec30b6a9c7455dbc78e6db,lmw/nb_activeprobe/aaai27_newton_full324_no_promotion_gates_20260717/rows.csv,c2ec263e52ac68b80b3806d3788eb023ff95529244928c37c672556d8c6ef1ea
UltraHorizon,paper-style score,51.041666666666664,,96,openai/gpt-4o-mini,DeepSeek-R1-0528-BF16,official 3 environments x 32 seeds,lmw/uh_official/aaai27_uh_full96_marsfull_strict_agent_paperjudge_20260717/summary.json,cdecd6f1191292a7e65af843d618f2a53f62542ccec6b82c644368dac3efd551,lmw/uh_official/aaai27_uh_full96_marsfull_strict_agent_paperjudge_20260717/summary.json,cdecd6f1191292a7e65af843d618f2a53f62542ccec6b82c644368dac3efd551
